function_name,total_time,call_count,avg_time,cpu_time,wait_time,memory_usage,file
__init__,0.0023420000000000003,1,0.0023420000000000003,5.61e-05,0.0022859000000000004,,std.py
set_index,0.0013521000000000002,1,0.0013521000000000002,5.89e-05,0.0012932000000000002,,frame.py
__new__,0.0009538000000000001,1,0.0009538000000000001,1.88e-05,0.0009350000000000001,,datetimes.py
convert,0.0039441,6,0.00065735,0.0001112,0.0038328999999999998,,construction.py
__init__,9.39e-05,1,9.39e-05,2.86e-05,6.53e-05,,format.py
copy,0.0001316,1,0.0001316,1.8e-05,0.0001136,,managers.py
_preprocess_slice_or_indexer,0.00012200000000000001,1,0.00012200000000000001,1.3800000000000002e-05,0.00010820000000000001,,managers.py
_acquireLock,1.74e-05,5,3.4799999999999997e-06,1.04e-05,6.999999999999999e-06,,__init__.py
_releaseLock,7.000000000000001e-06,5,1.4000000000000001e-06,5.4e-06,1.6000000000000008e-06,,__init__.py
__init__,1.1e-06,1,1.1e-06,1.1e-06,0.0,,__init__.py
usesTime,0.0007633000000000001,156,4.892948717948718e-06,0.0002434,0.0005199,,__init__.py
formatMessage,0.0013141000000000001,156,8.42371794871795e-06,0.0001395,0.0011746,,__init__.py
_clear_cache,5.2400000000000007e-05,1,5.2400000000000007e-05,4.36e-05,8.800000000000004e-06,,__init__.py
_register_at_fork_reinit_lock,2.0000000000000002e-07,1,2.0000000000000002e-07,2.0000000000000002e-07,0.0,,__init__.py
emit,0.016464,156,0.00010553846153846153,0.0006431000000000001,0.0158209,,__init__.py
createLock,6.1e-06,1,6.1e-06,3.8e-06,2.3e-06,,__init__.py
<lambda>,0.0010429,156,6.685256410256411e-06,0.0008626,0.0001803,,__init__.py
setLevel,1.2000000000000002e-06,1,1.2000000000000002e-06,6.000000000000001e-07,6.000000000000001e-07,,__init__.py
setFormatter,4.0000000000000003e-07,1,4.0000000000000003e-07,4.0000000000000003e-07,0.0,,__init__.py
disable,1.1e-06,1,1.1e-06,1.1e-06,0.0,,__init__.py
__init__,2.51e-05,1,2.51e-05,1.18e-05,1.33e-05,,__init__.py
acquire,0.0006126,312,1.9634615384615385e-06,0.00038310000000000004,0.0002295,,__init__.py
release,0.0004398,312,1.4096153846153846e-06,0.0002925,0.0001473,,__init__.py
__init__,2.7300000000000003e-05,1,2.7300000000000003e-05,3.6000000000000003e-06,2.3700000000000003e-05,,__init__.py
setLevel,6.0400000000000004e-05,1,6.0400000000000004e-05,7.100000000000001e-06,5.33e-05,,__init__.py
_get_root,1.81e-05,6,3.0166666666666664e-06,1.3700000000000001e-05,4.3999999999999985e-06,,config.py
handle,0.0340895,156,0.0002185224358974359,0.0014668,0.032622700000000004,,__init__.py
flush,0.0063902,156,4.0962820512820514e-05,0.0012259,0.0051643,,__init__.py
emit,0.0121489,156,7.787756410256411e-05,0.0009535,0.011195400000000001,,__init__.py
_get_single_key,3.97e-05,6,6.616666666666667e-06,1.56e-05,2.4100000000000003e-05,,config.py
_get_dtype,6.4000000000000006e-06,6,1.0666666666666667e-06,4.3e-06,2.1000000000000002e-06,,common.py
_select_options,6e-06,6,1e-06,6e-06,0.0,,config.py
info,44.057919000000005,156,0.28242255769230773,0.001606,44.056313,,__init__.py
getEffectiveLevel,1.7e-06,1,1.7e-06,1.7e-06,0.0,,__init__.py
_optim_args_from_interpreter_flags,1.97e-05,12,1.6416666666666667e-06,1.97e-05,0.0,,subprocess.py
__call__,3.82e-05,4,9.55e-06,3.6000000000000003e-06,3.46e-05,,config.py
get_version,1.7e-06,1,1.7e-06,1.2000000000000002e-06,4.999999999999999e-07,,_optional.py
using_copy_on_write,8.8e-06,9,9.777777777777778e-07,8.8e-06,0.0,,__init__.py
warn_copy_on_write,2.7e-06,5,5.4e-07,2.7e-06,0.0,,__init__.py
_get_option,7.48e-05,6,1.2466666666666667e-05,1.7e-05,5.78e-05,,config.py
_get_deprecated_option,7.2000000000000005e-06,10,7.200000000000001e-07,7.2000000000000005e-06,0.0,,config.py
_translate_key,9.800000000000001e-06,6,1.6333333333333335e-06,6.7e-06,3.100000000000001e-06,,config.py
using_pyarrow_string_dtype,6.7e-06,6,1.1166666666666666e-06,6.7e-06,0.0,,__init__.py
is_float_dtype,2.83e-05,2,1.415e-05,1.25e-05,1.5799999999999998e-05,,common.py
notna,2.08e-05,1,2.08e-05,2.8000000000000003e-06,1.8e-05,,missing.py
